"","MyNumber","Collections","ID","sciname","Label","Station","Notes","Muscle","Otolith","Lat_dec.x","Long_dec.x","Year.x","Min.Depth","Max.Depth","Salinity","SST","Weight.x","Weight_SD","Sex","Year.y","Lat_dec.y","Long_dec.y","Min_Depth","Max_Depth","Temp","DIC","Suess","Depth_Mid","D18O_vals","Province","Phyto","Phyto_sd","d13C","d18O","d13C_musc","d13C_musc_SD","Genus","Species","FamCode","BodyShapeI","Compressed","AspectRatio","DepthOverTL","DemersPelag","AnaCat","DepthRangeShallow","DepthRangeDeep","LongevityWild","Length","LTypeMaxM","Weight.y","Family","Order","Neritic","Oceanic","Estuaries","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","UseTroph","UseTrophSe","Schooling","Shoaling","Temperature","mean_Temp","sd_Temp","mean_M","sd_M"
"24","BAS_76","BAS","150","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.5,0.3,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.73,2.94,-24.11,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.68143710139226,1.73082153377223,0.167131905021273,0.0102875941805133
"25","BAS_77","BAS","145","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,6,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.51,3.4,-24.42423867,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",1.08362573938965,1.70297713066553,0.156982396222867,0.0100211260535812
"26","BAS_78","BAS","146","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,6.4,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-3.13,2.87,-25.53494671,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.89200667539827,1.71094873929448,0.172786901865204,0.00992774927264304
"27","BAS_79","BAS","152","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.9,1.2,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-3.06,3.21,-24.17,0.28,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",1.74470489204695,1.7018254675429,0.179208537456087,0.0110291927653214
"28","BAS_80","BAS","151","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.75,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.54,3.03,-24.03,0.93,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.35373788165468,1.72459572280319,0.160544691178295,0.0121502058380208
"29","BAS_81","BAS","147","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.8,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.56,2.85,-24.65599843,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.98660327150406,1.68998587849573,0.157192078687407,0.00998748453370642
"30","BAS_82","BAS","149","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.35,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.36,2.97,-23.96,0.31,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.54777982604065,1.7223675499401,0.15435191574193,0.0103792224259246
"31","BAS_83","BAS","149","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.35,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-3.03,3.37,-23.96,0.31,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",1.18009887720528,1.6920651888196,0.179483089298496,0.0108563126049303
"32","BAS_84","BAS","150","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.5,0.3,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-2.98,3.02,-24.11,0,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.37580294305677,1.7097045355955,0.176706951024784,0.0109508149167004
"33","BAS_85","BAS","151","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",-50.55,-34.05,2008,NA,NA,NA,NA,5.75,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,1.95,-0.1,105.3,-0.366572708,"SANT",-24,2,-3.51,2.88,-24.03,0.93,"Electrona","carlsbergi",167,"fusiform / normal","No",1.14,21.2,"pelagic","migratory",0,400,3,9.6,"SL",14.6,"Myctophidae","Myctophiformes","No","Yes","No",3.22,NA,3.24,0.41,3.22,0,"Yes","Yes","Polar",2.86949614353052,1.6884723109735,0.197620525124333,0.0128997322601334
