"MyNumber","DIC","sd_DIC","diet","sd_diet"
"BAS_145",2.14158493967298,0.251181410167175,-24.9737065209958,1.09711488904902
"BAS_146",2.19616770602753,0.288369123965324,-28.1705094801402,1.09684464705099
"BAS_151",2.24616770602753,0.288369123965324,-28.0373991901402,1.09684464705099
"BAS_152",2.19233592279339,0.290686696018866,-27.9013500601402,1.09684464705099
"BAS_153",2.24616770602753,0.288369123965324,-28.5556923501402,1.09684464705099
"BAS_155",2.24616770602753,0.288369123965324,-28.3159534901402,1.09684464705099
"BAS_156",2.19616770602753,0.288369123965324,-27.5755551477465,1.09708968510253
"BAS_165",2.19616770602753,0.288369123965324,-27.8607848901402,1.09684464705099
"BAS_166",2.24616770602753,0.288369123965324,-28.866157924808,1.09697870221091
"BAS_167",2.19616770602753,0.288369123965324,-28.2743048401402,1.09684464705099
