"","rho","p_value"
"rho.92",-0.367703135782601,9.04461567336208e-05
"rho.93",-0.452680092153497,8.70653737656044e-07
"rho.94",-0.33867882975828,0.000336742319310805
"rho.95",-0.391306522677482,2.82044508669418e-05
"rho.96",-0.43237308139005,2.96954753830191e-06
"rho.97",-0.398952019340708,1.89637375966164e-05
"rho.98",-0.338054804796982,0.000345921154776896
"rho.99",-0.457343606940598,6.49450925771156e-07
"rho.100",-0.401729168595949,1.63774298496078e-05
"rho.101",-0.316623596393335,0.000842360867554643
"rho.102",-0.441890652937169,1.68746007209734e-06
"rho.103",-0.376225125521237,5.99980938427317e-05
"rho.104",-0.338502578433333,0.000339311786548901
"rho.105",-0.403553607986612,1.4862855070653e-05
"rho.106",-0.471172190624925,2.65332241477263e-07
"rho.107",-0.443143466409087,1.56446866423788e-06
"rho.108",-0.411084779466089,9.89697351037018e-06
"rho.109",-0.397827821700508,2.01159145725601e-05
"rho.110",-0.399452192019611,1.84712908585196e-05
"rho.111",-0.406659442145132,1.25831441061058e-05
"rho.112",-0.456814852965759,6.71544199426324e-07
"rho.113",-0.39903776322852,1.88784520576372e-05
"rho.114",-0.387357540288813,3.44912747985111e-05
"rho.115",-0.403124888547553,1.52064423632368e-05
"rho.116",-0.371642591072625,7.49213715050139e-05
"rho.117",-0.435817127550494,2.42507698655488e-06
"rho.118",-0.336682902591992,0.000366917265640353
"rho.119",-0.410960927183694,9.96417253790108e-06
"rho.120",-0.410784675858748,1.00605428166333e-05
"rho.121",-0.381989020201925,4.51583916842586e-05
"rho.122",-0.447025759107236,1.23504500881819e-06
"rho.123",-0.289404675562386,0.00238254460543532
"rho.124",-0.38305605525025,4.28193284092817e-05
"rho.125",-0.400943182957673,1.70736189975889e-05
"rho.126",-0.358861988239332,0.000136815208504167
"rho.127",-0.417720403672864,6.86016461512126e-06
"rho.128",-0.391420847861231,2.80395456246009e-05
"rho.129",-0.383884912832432,4.10810878599216e-05
"rho.130",-0.490173988873903,7.25983898266291e-08
"rho.131",-0.413585642860602,8.62801179075036e-06
"rho.132",-0.342746900880021,0.00028220000813805
