"","intercept_mod","scal_mod","p_mod","r_sq_con","aic_mod"
"R2c.186",0.203091776885603,0.0108419351405376,0.839442626924181,0.638826246773682,-420.882327850566
"R2c.187",0.223331347967392,-0.0102265036135627,-1.2229560359012,0.565409457344393,-393.586797590022
"R2c.188",0.221926087243082,-0.0111452672679695,-1.18252097423855,0.494411421637677,-403.512404719872
"R2c.189",0.214655438636417,-0.00841070764589796,-0.804836058486156,0.476407494067495,-387.945474489804
"R2c.190",0.206764769325581,0.0026197740085401,0.550404662977199,0.547733335502978,-395.965402289555
"R2c.191",0.213100304494201,0.000345483616869925,0.0661006710232321,0.536937512476515,-404.865215385845
"R2c.192",0.210145290457093,0.00536531712395169,1.02605943168079,0.547281336230613,-391.927941671679
"R2c.193",0.211725186244215,0.00229880856961736,0.344531960408678,0.432985885556864,-366.046373589489
"R2c.194",0.224672784527338,-0.0153855822626825,-1.02652562767631,0.420153485588266,-356.201017021709
"R2c.195",0.208721743671334,0.00118074446905394,0.486158114416873,0.555457018050504,-411.534486123748
"R2c.196",0.212935582651762,-0.000100868814366776,-0.0253346092583465,0.539474660531904,-402.521533586477
"R2c.197",0.218927487726624,-0.00719226257594546,-0.46512590661369,0.390082487690624,-345.565466826722
"R2c.198",0.212460646651975,0.00488381015570873,0.831076509247681,0.561957924119149,-381.381993808907
"R2c.199",0.214082349332491,1.30288980086104e-05,0.00322238967391416,0.514268881290213,-380.162492144756
"R2c.200",0.210221976875312,0.00512888735663208,0.634031226228928,0.503255568212508,-383.42983925405
"R2c.201",0.210113082945452,-0.00103798281724369,-0.0993344539016837,0.526687135171853,-375.065863927806
"R2c.202",0.20959991770312,0.00356366517130795,0.311837657729081,0.481128993549836,-379.061402733885
"R2c.203",0.231221480531624,-0.0185699306382562,-1.50211309372147,0.549881543942261,-379.069232196817
"R2c.204",0.206245577931128,0.00454971437735913,0.803218642330058,0.550350973816717,-385.045553589881
"R2c.205",0.224242586116084,-0.0141081031373923,-1.60006552668727,0.468758573968823,-381.567946912387
"R2c.206",0.216428655532007,-0.000423118880007991,-0.16972903924098,0.488350349710948,-374.448821653662
"R2c.207",0.220581001574748,-0.00520383633284024,-0.345618107092891,0.456079712604909,-377.72907980694
"R2c.208",0.211444282824351,0.00439378815069071,1.17951099255972,0.500866613996279,-370.652667961403
"R2c.209",0.206834297989052,0.0123361638929892,1.69632585120025,0.554617875823413,-371.30443375216
"R2c.210",0.199502451574994,0.0122353448323518,1.04672080436429,0.654809016658981,-418.755479984692
"R2c.211",0.216104478514415,-0.00485462649044692,-0.667849714991335,0.480153872382131,-389.431643334509
"R2c.212",0.217217971596495,-0.00389682863069391,-0.563455915744537,0.463162840612938,-361.395519350565
"R2c.213",0.211530864206694,0.00196819991041444,0.309296496720248,0.509977103188022,-390.85240840914
"R2c.214",0.223096685999034,-0.0102797904876685,-0.710777260747908,0.446173619224047,-382.830651511406
"R2c.215",0.211351209572098,-0.00145594996509422,-0.408378816213169,0.438749966530511,-385.410596535892
"R2c.216",0.207065165982906,0.0138093270224258,1.62777019803673,0.621237568498149,-396.252275266645
"R2c.217",0.207967006000843,0.00622152299807966,1.25605121050558,0.646345344875505,-405.767417013197
"R2c.218",0.220315528029002,-0.0104018894588391,-1.79639097806036,0.526555978681735,-376.553447109672
"R2c.219",0.215722401070479,-0.00333791015545397,-1.05946744646662,0.427957431221821,-361.278732450559
"R2c.220",0.21400055619885,-0.00225104637952929,-0.65243660622413,0.487698520090083,-372.04428261499
"R2c.221",0.214887836492249,-0.00261228891348241,-0.360241149617837,0.458028259475953,-369.707233864349
"R2c.222",0.214988917528172,-0.00501621285927357,-0.991255981155602,0.552267841511762,-388.806940717881
"R2c.223",0.206595398302723,0.00539175102328874,0.461808384466901,0.521383223171702,-373.028764402805
"R2c.224",0.210172678952322,-0.00237385123061207,-0.611558413414326,0.440385498863964,-370.748367077843
