"","intercept_mod","scal_mod","p_mod","rsq_mod","adj_rsq_mod","aic_mod"
"1.204",0.216036696938585,-0.00590274940097576,0.00271927689020909,0.0816527539478088,0.0729891006831653,-364.838037916897
"1.205",0.223377076249087,-0.00265480100839751,0.226191750278568,0.0137867832586948,0.00448288498755034,-343.705865985227
"1.206",0.222543370098985,-0.00933925361872448,9.11215540513584e-07,0.204258246973061,0.196751249302995,-375.739187438504
"1.207",0.22250168666218,-0.00985337283380601,6.73612119920827e-06,0.174763401713796,0.166978150786568,-345.029052348216
"1.208",0.222309007786039,-0.00708383532750543,0.000263657984828547,0.118540387052048,0.110224730326124,-364.91093909017
"1.209",0.224842199217048,-0.00659876298629391,0.00296836278663636,0.0802586352119529,0.0715818298837636,-338.024389303709
"1.210",0.223094574949452,-0.00905393534505707,6.8963666557338e-05,0.139397708205496,0.131278818660265,-360.139482193195
"1.211",0.220635344179151,-0.00704663705855864,0.00015030451016693,0.127318312674962,0.119085466568122,-384.86578650122
"1.212",0.221935085194779,-0.00760371622660046,0.000550144266428477,0.106979371958708,0.0985546490526583,-349.814640739163
"1.213",0.217592454987463,-0.00723628917866878,0.000151016691372586,0.127244695920976,0.119011155316457,-361.241465780677
"1.214",0.222117970895639,-0.00889829760666619,2.30845992363502e-06,0.190662733771528,0.183027476542957,-375.906795153817
"1.215",0.223040995505607,-0.00884134651388455,1.86704328120837e-05,0.159399313173715,0.151469118014977,-366.87062954079
"1.216",0.224511271415412,-0.00844004550443124,6.12649994287479e-05,0.141223341441863,0.133121674851692,-359.080984319311
"1.217",0.221260291030731,-0.00594658168967224,0.00315283266021602,0.0792995088776677,0.0706136551878342,-363.527432225091
"1.218",0.227090701662624,-0.00859050137565961,0.000370509835051026,0.113202264320371,0.104836247946035,-341.373521564325
"1.219",0.222975211038831,-0.00575679839149921,0.00624991827491253,0.068414519931763,0.0596259776669682,-359.282383947401
"1.220",0.219047327866043,-0.00624208156382104,0.00324768992956814,0.0788279172333625,0.0701376145657526,-363.572581492549
"1.221",0.218637269821001,-0.00580239532937984,0.00317801202161003,0.0791729597133432,0.070485912163469,-355.601697528348
"1.222",0.220954724717643,-0.00609313295268242,0.00675788167399163,0.0671724556578416,0.058372195805557,-350.800046153451
"1.223",0.221759647584765,-0.00498672011245596,0.0202841093120457,0.0497808401184094,0.0408165084214132,-367.016113575292
"1.224",0.225112342754007,-0.00835409648508415,0.000183540930740914,0.124203861211329,0.115941633486908,-344.781691345703
"1.225",0.224004750633954,-0.00921891313531296,1.13350306198377e-05,0.166947628197028,0.159088643557377,-379.621120972631
"1.226",0.217729564776018,-0.00615840678344659,0.00181976469855704,0.0880377901873325,0.079434373113628,-373.797718405071
"1.227",0.224688175802801,-0.0076976557876004,0.000718111992798758,0.102773528448088,0.0943091277730702,-356.631249249126
"1.228",0.220737070189113,-0.00724076863814556,0.000322352568100522,0.11538890738525,0.107043519719073,-359.155776333568
"1.229",0.221136890752915,-0.00663373774604371,0.00265057609749901,0.0820597419112728,0.0733999281557186,-353.340811073203
"1.230",0.215821434618874,-0.0042145434890688,0.0406516214003208,0.0389406433459478,0.0298740456416642,-373.085144664502
"1.231",0.223609873658925,-0.0062553782519592,0.00512945213782214,0.071556322745663,0.062797420130056,-350.797976904761
"1.232",0.224589332451343,-0.00691765564171478,0.000567496256639145,0.106489641725638,0.0980602987230491,-368.769383056822
"1.233",0.222251018833174,-0.00717975998356382,0.000460833732487592,0.109770610218201,0.101372219748562,-369.136656153439
"1.234",0.218464915624881,-0.00639959021871199,0.000708652907424049,0.102983035127378,0.0945206109304659,-361.901252675695
"1.235",0.222461783789988,-0.00743419853623071,0.000235563062791033,0.120304355871947,0.112005340361305,-364.257472316779
"1.236",0.218453090884882,-0.0078394476496584,0.000195313873714496,0.123233287859927,0.114961903783134,-366.525013048305
"1.237",0.223339226201871,-0.00604840194563022,0.00457787160068375,0.0733660677491948,0.0646242381996589,-344.304321681097
"1.238",0.222128380984932,-0.00763211139511443,1.80771657959279e-05,0.159889302320921,0.151963729701307,-388.145819898248
"1.239",0.224776352821545,-0.00820685899953311,0.000248469042632492,0.119469544775136,0.111162653688109,-353.937822500885
"1.240",0.218947884241156,-0.00796293649250737,0.000104327507871516,0.132992968123203,0.124813656501724,-344.230714084832
"1.241",0.222184976746065,-0.0075763400985575,0.000417577312379646,0.111321915477331,0.102938159962966,-366.200885825088
"1.242",0.220807214269158,-0.00777864172065052,0.000485365974432711,0.108953790603342,0.100547694288279,-359.830360475444
"1.243",0.219447248657937,-0.00874184149942936,2.37452073486749e-06,0.190247059772428,0.182607881091036,-388.672829562758
"1.244",0.220468886108169,-0.0072734077297383,6.34144773302551e-05,0.140691775218271,0.132585093852406,-373.491622917914
"1.245",0.217407845509195,-0.00437604386702523,0.0224655144594294,0.0481771729686946,0.0391977123363237,-373.358078174107
"1.246",0.22242999444156,-0.00939501424997133,8.42089124937624e-06,0.171417881039117,0.16360106859609,-356.847850226748
"1.247",0.218750831267016,-0.00600224584081228,0.00365681158844287,0.0769402091512823,0.0682320979168604,-354.69969124889
"1.248",0.218796027736212,-0.00589202287607892,0.00371544184854445,0.0766871332516918,0.0679766345087832,-369.773576363531
"1.249",0.225376655694238,-0.00803184826966346,0.000341003063171676,0.114505921918583,0.106152204200833,-355.602637348313
"1.250",0.225084574840237,-0.00562559813090943,0.00412540637089774,0.0750218065493276,0.0662955971771514,-355.523966323028
"1.251",0.225577788265216,-0.00731324058933681,0.000120571029518618,0.130746825837787,0.122546324194748,-376.028138720557
"1.252",0.219079065011576,-0.00721724507400043,0.000373644817282571,0.113069850985202,0.104702585428458,-357.600997585892
"1.253",0.221725034213804,-0.00178755865094992,0.417407236635583,0.00621373859345248,-0.0031616034952886,-345.059482368233
"1.254",0.226755561655595,-0.00848167593455333,5.89212305915659e-06,0.176764525549233,0.168998153148754,-365.898898788816
"1.255",0.218142541357872,-0.00708202595966425,0.000829254230986109,0.100498557537553,0.0920126948728133,-364.879983682855
"1.256",0.218135128181682,-0.00339857480725587,0.0919149442691198,0.0265644804306064,0.0173811264724045,-358.852735085096
"1.257",0.214934969780823,-0.00711031276390702,0.00147187888157992,0.0914067638850276,0.082835129582056,-361.036572142374
"1.258",0.220609769379806,-0.00615772071179901,0.00319262602491557,0.0790999695968461,0.0704122334609671,-361.332709792906
