"","intercept_mod","scal_mod","p_mod","rsq_mod","adj_rsq_mod","aic_mod"
"1.18",0.223963518584347,-0.0160795872922766,0.0327792068934912,0.0422760437251163,0.0332409120621456,-348.184936771335
"1.19",0.230462920640057,-0.0218620523765897,0.00493947478756034,0.072156642881705,0.0634034036636077,-339.844364541513
"1.20",0.232274868023394,-0.0217331664393794,0.0022029161833391,0.0850013066948464,0.076369243550458,-364.288712965379
"1.21",0.236463911361431,-0.0242916341064381,0.00606212417704113,0.0688995485376325,0.0601155820144025,-339.261742998891
"1.22",0.223069120681678,-0.0165269142553661,0.033168517514536,0.0420925301121658,0.0330556671886955,-359.77196694818
"1.23",0.227983589360933,-0.0118699811950327,0.128076200934667,0.0217099035679404,0.0124807517148076,-353.102371785066
"1.24",0.235309050398563,-0.024464127053389,0.00365715339063914,0.0769387220478377,0.0682305967841379,-350.259385807494
"1.25",0.224328221821241,-0.00710145523141064,0.261067306921015,0.0119008290885087,0.00257913879689065,-362.562570891081
"1.26",0.226049864301915,-0.0129736307148704,0.0645418994013544,0.031865757501463,0.0227324155910994,-374.651088605749
"1.27",0.230907686863635,-0.0154275211554596,0.049055026471277,0.0360486021446108,0.0269547210327674,-343.794902958556
"1.28",0.229067026524534,-0.015868233613916,0.0522890804148483,0.0350707289422694,0.025967622611536,-359.262660744974
"1.29",0.23502446203526,-0.021518788906141,0.00641777838368882,0.0679931989337644,0.0592006819425733,-354.790964947411
"1.30",0.234675703225151,-0.0275129841253433,0.000591008062066528,0.105849247237817,0.0974138627777966,-366.678616478461
"1.31",0.225112738867366,-0.0166364380276599,0.055636448450398,0.0341228635768364,0.025010815120014,-350.746660256752
"1.32",0.224675138612403,-0.0135559800201935,0.0804365733110543,0.0285512076239792,0.0193865963751486,-353.804595632739
"1.33",0.228601810054129,-0.0130681909470445,0.102751485538925,0.0249188885901587,0.0157200101806317,-339.626800709424
"1.34",0.223910792803698,-0.0127827034488593,0.0943097081721298,0.0261834991138164,0.0169965509922486,-364.920033491436
"1.35",0.22859406476699,-0.0185635101358555,0.025535034897516,0.0461710496353153,0.03717266331112,-362.970173842308
"1.36",0.227598745776944,-0.0184072067490708,0.0127103998344867,0.0571526083947701,0.0482578216815132,-363.435843025057
"1.37",0.234159629076203,-0.0239854892618357,0.00449832741097845,0.0736449340820539,0.0649057353469789,-343.865149417229
"1.38",0.229344766313324,-0.0192776160885672,0.0172700011867641,0.0523122888565339,0.0433718387514068,-349.645394549604
"1.39",0.230914366620162,-0.0245683549588389,0.00384774848580669,0.0761304058741672,0.0674146549861876,-343.531142554099
"1.40",0.238492807160443,-0.0261438880528866,0.00141445479261409,0.0920383040703635,0.0834726276936687,-352.808716158964
"1.41",0.229309591185948,-0.0191718259120389,0.00685886517754518,0.0669367348340586,0.0581342512004175,-356.443949004652
"1.42",0.233132912314194,-0.028342869460298,0.00239080112580032,0.0837000599964193,0.0750557209397817,-337.912591248394
"1.43",0.222200139334364,-0.0168634338991144,0.0297893649731507,0.043764804792032,0.0347437180447869,-369.291152756434
"1.44",0.229641064442223,-0.018040638499728,0.0450040065819972,0.0373726846653119,0.0282912948980034,-340.34465114472
"1.45",0.236060968085745,-0.0277826182148192,0.000427474196462011,0.11095337435632,0.102566142038927,-372.82700614701
"1.46",0.231383215038899,-0.023439294803985,0.0015566809656974,0.0905176025086006,0.0819375798907571,-361.999107699042
"1.47",0.226547276219761,-0.0173013524347634,0.0207374120906398,0.0494335841519162,0.0404659764552361,-351.975740228642
"1.48",0.228491525371995,-0.0180914369496318,0.0151373502270448,0.0543910856561764,0.0454702468416119,-346.086744461267
"1.49",0.234892590179355,-0.0192912549802467,0.0355924660811212,0.0409975287091798,0.0319503355837946,-334.439626352
"1.50",0.223846781512851,-0.0110509394829769,0.157136844295017,0.0187929967721239,0.00953632693035134,-349.98597572987
"1.51",0.230175080301064,-0.021042285435805,0.0084113312368817,0.0636958801427809,0.0548628224082788,-363.762742091525
"1.52",0.225962338013144,-0.0161021065897985,0.0483990845916105,0.036255111700592,0.0271631787921069,-352.718635442757
"1.53",0.227568033085197,-0.017311473028267,0.0226554221188883,0.0480451525433979,0.0390644464353167,-360.224722008935
"1.54",0.229491028994495,-0.0223210427929788,0.00986484013729258,0.0611668901745495,0.0523099740441206,-344.264995865745
"1.55",0.231060025482263,-0.0204955539307567,0.0132942978261438,0.0564422689941133,0.0475407809657558,-354.885804909064
"1.56",0.227311266162943,-0.0185806395679817,0.0216482054621412,0.0487586452991945,0.0397846702548472,-354.02363723673
"1.57",0.231414144867556,-0.019345553992144,0.0115174204801152,0.0587125526339293,0.0498324823757587,-363.870035386562
"1.58",0.232418582339513,-0.0241996924126787,0.00172371942360905,0.0888990806360333,0.0803037889439203,-374.685467866205
"1.59",0.233764951489567,-0.0279509177554016,0.00146740038147713,0.0914551284614393,0.0828839504280566,-352.732404214631
"1.60",0.231237144503858,-0.024494392668253,0.00436085649517956,0.0741387254439265,0.0654041851179256,-355.408119849386
"1.61",0.227329215178946,-0.0216017009223136,0.00598367188077211,0.0691066532168519,0.0603246405113503,-368.806101544536
"1.62",0.233404949089907,-0.0259201066866125,0.00160381734580939,0.0900439972893133,0.0814595066977029,-358.172050855577
"1.63",0.225250133754339,-0.0122827841322256,0.0339850831774333,0.0417147075888504,0.0326742803019527,-372.10358349901
"1.64",0.227414150936585,-0.0142732574019186,0.0544723075023964,0.034445593810102,0.0253365899781217,-360.537585663098
"1.65",0.227647062929745,-0.0158480437434726,0.0681408007189648,0.0310450397756921,0.021903955245274,-346.940274681106
"1.66",0.228418854156387,-0.0164140928282804,0.0392648351419285,0.0394769697983703,0.0304154317776002,-347.687251521408
