"","chi","df","p_value"
"Kruskal-Wallis chi-squared.157",41.6053894480159,5,7.07898736005657e-08
"Kruskal-Wallis chi-squared.158",63.536113767359,5,2.25422991312379e-12
"Kruskal-Wallis chi-squared.159",46.3770347647617,5,7.61039514298408e-09
"Kruskal-Wallis chi-squared.160",48.0872650009626,5,3.40917436470903e-09
"Kruskal-Wallis chi-squared.161",49.9650861728886,5,1.40878248572614e-09
"Kruskal-Wallis chi-squared.162",56.5944693763551,5,6.12997247313311e-11
"Kruskal-Wallis chi-squared.163",55.8420506654296,5,8.75849814177204e-11
"Kruskal-Wallis chi-squared.164",47.5887174162546,5,4.30919285418499e-09
"Kruskal-Wallis chi-squared.165",41.9321290799705,5,6.07965144676212e-08
"Kruskal-Wallis chi-squared.166",49.7515344696814,5,1.55788514040608e-09
"Kruskal-Wallis chi-squared.167",51.9661347333075,5,5.48174739444888e-10
"Kruskal-Wallis chi-squared.168",51.7929433225084,5,5.94886981066255e-10
"Kruskal-Wallis chi-squared.169",45.0411938808465,5,1.42316652389169e-08
"Kruskal-Wallis chi-squared.170",50.3809957300159,5,1.15802979026069e-09
"Kruskal-Wallis chi-squared.171",49.6673184204741,5,1.62092355064668e-09
"Kruskal-Wallis chi-squared.172",58.8045619084588,5,2.14609533327051e-11
"Kruskal-Wallis chi-squared.173",56.2985628384086,5,7.05370912605665e-11
"Kruskal-Wallis chi-squared.174",58.5490127173784,5,2.4232522935247e-11
"Kruskal-Wallis chi-squared.175",47.3260915600749,5,4.87492489255725e-09
"Kruskal-Wallis chi-squared.176",51.4226817268031,5,7.08499242826131e-10
"Kruskal-Wallis chi-squared.177",42.6531771354392,5,4.34409860062737e-08
"Kruskal-Wallis chi-squared.178",49.4295688252231,5,1.81295432519234e-09
"Kruskal-Wallis chi-squared.179",57.9696474501599,5,3.19114281778722e-11
"Kruskal-Wallis chi-squared.180",48.0987097473251,5,3.39088247316828e-09
"Kruskal-Wallis chi-squared.181",49.5318382602786,5,1.72771660061168e-09
"Kruskal-Wallis chi-squared.182",49.6568903595561,5,1.62890426071007e-09
"Kruskal-Wallis chi-squared.183",48.7190432984181,5,2.5329090448094e-09
