"","a","b","sigma","WAIC"
"Number.911",0.219974024048934,-0.00814300533660285,0.0407816544291401,-378.211507941465
"Number.912",0.221225581143559,-0.00521956714996171,0.0457940485438895,-353.360606858975
"Number.913",0.219060636521646,-0.00607545216331337,0.0440757570713814,-361.376757490302
"Number.914",0.215528767609913,-0.00719759643702086,0.0415594939298853,-374.701487104305
"Number.915",0.218125097020596,-0.00564586881687145,0.0433796805988883,-364.526316975448
"Number.916",0.219436201590754,-0.00755582391384901,0.0402738517197625,-381.346250554642
"Number.917",0.223416019693332,-0.00765377397851379,0.0429115934783822,-367.498759069904
"Number.918",0.221510343055002,-0.00700379651536789,0.0404679932216171,-380.485050339888
"Number.919",0.220788361272816,-0.00231271465976442,0.0486306753988326,-340.830125143105
"Number.920",0.215658051240031,-0.00682309853897242,0.0452577298130853,-356.20283130295
"Number.921",0.218412981423025,-0.00773258153081809,0.0389611246761555,-388.481976335443
"Number.922",0.22416121709949,-0.00817545466519262,0.0395448663785579,-385.523485050367
"Number.923",0.22189230854661,-0.00651039605808976,0.0447111101261018,-358.955002411387
"Number.924",0.217000780858884,-0.00855635728439166,0.0424534262665091,-369.837374765862
"Number.925",0.225171441472928,-0.00677550459530206,0.0452778641780534,-356.166022931655
"Number.926",0.221669608255465,-0.00808213523990685,0.0414710084305018,-374.813211830264
"Number.927",0.218017242635733,-0.00623929925605742,0.0409420665126608,-377.675548933594
"Number.928",0.222287074030329,-0.00802752547263976,0.0453610368361843,-353.406922456433
"Number.929",0.217083115895049,-0.00894741301179891,0.0407748948663116,-378.745618891464
"Number.930",0.217432146624058,-0.00772516410452697,0.0402391309878543,-381.842499048087
"Number.931",0.224443073872412,-0.00594540524519026,0.043518543811104,-364.180124887794
"Number.932",0.222108250677271,-0.00424809770614142,0.0456866462506164,-354.032500326281
"Number.933",0.221247005607058,-0.00634217861382024,0.043401956163161,-363.780643119699
"Number.934",0.223819775817127,-0.00947361520118773,0.038902664920479,-388.918889745003
"Number.935",0.216710886482306,-0.00769782223063026,0.0392820641898385,-386.224323426105
"Number.936",0.2212646100913,-0.00493392880139964,0.0439376250429448,-362.723992053013
"Number.937",0.219600918072921,-0.00645096350478846,0.0454453580107552,-354.083741631318
"Number.938",0.220462937588913,-0.00856310657015575,0.0430550858073877,-366.779251786277
"Number.939",0.220224489757448,-0.00603900059206311,0.0404237144016285,-379.949989181855
"Number.940",0.216727902999455,-0.00516010464502894,0.037793136096754,-395.383274283883
"Number.941",0.220372748978829,-0.00749125117214743,0.0403973198445998,-380.156640646776
"Number.942",0.221493128077056,-0.00532940637544376,0.0438175777634024,-363.146651830495
"Number.943",0.223156585814725,-0.00859370094218022,0.0401984207951299,-381.563064999872
