"","intercept_mod","scal_mod","p_mod","r_sq_con","aic_mod"
"R2c.65",0.211952636091495,0.00145405029365436,0.427529383471645,0.505779909652046,-394.051503409323
"R2c.66",0.210719694254851,0.00041069753960937,0.851664582658245,0.514993817570563,-379.267344152114
"R2c.67",0.212474865801536,-0.00428938217104223,0.0717794455336372,0.508174615276916,-375.356315919973
"R2c.68",0.212641605415676,0.00118429046999482,0.608958025106203,0.518336262603891,-373.511762742761
"R2c.69",0.211381441969456,-0.0010492197401012,0.646006046343342,0.505982209520044,-373.184911824481
"R2c.70",0.209049465045,-0.000739933645853935,0.706588942093512,0.64978265629953,-399.656250381715
"R2c.71",0.212806774565759,0.000294099499448194,0.878870350606209,0.548337706871503,-391.692511245657
"R2c.72",0.214596021851117,-0.00169666243183634,0.434702066414737,0.542178365491803,-380.365408396138
"R2c.73",0.209497265122471,-0.000212886437799351,0.918129890595262,0.499245272378863,-383.737258595809
"R2c.74",0.214499090137668,-0.000276581491975069,0.890918729631649,0.506819216798732,-379.74375336971
"R2c.75",0.217622864371345,-0.00228058141280344,0.248093342002413,0.453884171986435,-391.470959124091
"R2c.76",0.213928092138984,0.00120373413153922,0.583649783824431,0.600735945632731,-385.146769603031
"R2c.77",0.210615496240741,-0.000704935621000051,0.724439998536733,0.595415236923739,-388.954913486605
"R2c.78",0.218122724606792,-0.00211335930066932,0.272603178013196,0.548761785689048,-392.226028839291
"R2c.79",0.221182294069654,-0.00365017983061907,0.11410555251698,0.479169850411137,-379.189008815514
"R2c.80",0.215758314382138,0.000380345441591512,0.856364445495076,0.476677941294209,-371.858604832471
"R2c.81",0.214774067236919,-0.00417258144300457,0.0443210975379525,0.500030441539452,-385.558806951506
"R2c.82",0.215858199276656,-0.00338235593754385,0.106528662925382,0.447986160685218,-384.839117963405
"R2c.83",0.21272568476673,5.23041658639128e-06,0.997936145289475,0.5179334646439,-376.532281966042
"R2c.84",0.215380602120647,-0.00418097718657932,0.0643997025035466,0.531463693188106,-388.260878057467
"R2c.85",0.213696692651331,0.00081332837704946,0.72762974455211,0.531497532159171,-372.382023032106
"R2c.86",0.209425409695607,0.00111420331542214,0.589701788984198,0.534214786564975,-370.39128117309
"R2c.87",0.215799765243604,-0.00215396079613391,0.227952705884715,0.556850681420975,-418.203293099162
"R2c.88",0.212825420939173,0.000410661768334637,0.84509374821793,0.492433338451603,-387.131925544348
"R2c.89",0.211682134972157,-0.00189040048187203,0.349064713801023,0.502493868792316,-389.85603076682
"R2c.90",0.209169110746381,0.000364464549186876,0.851978259489923,0.527120783110605,-402.192238826216
"R2c.91",0.215071797550667,0.000751392165801241,0.743259088889797,0.596162231122983,-374.484997847394
"R2c.92",0.212150206278859,-0.000776197569660402,0.706621298751791,0.580500947231391,-385.537228846291
"R2c.93",0.21351695258235,-0.00155701764742418,0.424073290100712,0.618343767382846,-405.159175734415
"R2c.94",0.216480271625476,-0.00249605008560485,0.209038652651834,0.510359383851861,-391.128187817986
"R2c.95",0.217149063374409,-0.000377250908567604,0.848550901266019,0.572331948078156,-395.454061670063
"R2c.96",0.208201524066141,0.00242500647970936,0.212839123519609,0.590358717652157,-389.228374631782
"R2c.97",0.213983771801686,-0.00093743905201789,0.649705669923856,0.525836064124558,-389.143377002739
"R2c.98",0.216226713351947,-0.00169698323001038,0.349098610255987,0.586740967603248,-395.344469975915
"R2c.99",0.215463631735451,0.00205614997058338,0.318696326785639,0.587747657116174,-392.563759405229
"R2c.100",0.214195090532625,-0.00165128453382338,0.50118689111624,0.49915010875018,-384.591287333416
"R2c.101",0.219285032217286,-0.0024724771984003,0.288638896931437,0.454860936788891,-354.746345427874
"R2c.102",0.206570863028446,0.00316905769994679,0.155635133356031,0.560380441475395,-375.081193871345
"R2c.103",0.214961204761088,-0.00350590158249092,0.0939947309186744,0.395400947203693,-380.969735297984
"R2c.104",0.215934628490723,-0.0033464902883351,0.17134693658931,0.455932361512213,-362.69903859577
"R2c.105",0.212734699272732,-0.00471839314842066,0.015252020244624,0.579459185913609,-400.367062709817
"R2c.106",0.217199546899498,-0.00213276772780256,0.297570493781831,0.477418603291035,-381.488872827502
"R2c.107",0.213213166203083,-0.00271763533503104,0.18235448792987,0.435455348770251,-384.155694349536
"R2c.108",0.211785136822202,-0.00335018133817591,0.12384120975619,0.469876367929098,-397.167373234541
"R2c.109",0.217193403811553,0.00141417904307074,0.470440961046978,0.604648892413779,-394.965146557748
"R2c.110",0.21136328665492,0.000248729556614562,0.913641735059009,0.510364029505357,-371.803171489722
"R2c.111",0.218432956294734,-0.00315389610181105,0.166586669850357,0.503809777859559,-379.11299338809
"R2c.112",0.218477936517262,-0.00353415162561321,0.110155819343789,0.454108288812407,-367.747012416581
"R2c.113",0.210694511350926,-0.00113478821142991,0.597408763204688,0.446229540186922,-370.841936339448
"R2c.114",0.216019526244647,-0.00393945367156303,0.0417829067380562,0.462145449786904,-387.47140861877
"R2c.115",0.218171763258753,-0.00469611659197126,0.0346275488639381,0.450317970420207,-375.772411594958
"R2c.116",0.215651387132639,0.00124760665478886,0.546156229138664,0.529567457540641,-382.488465337813
