"chi","df","p_value"
56.2497239080191,5,7.2190015597354e-11
60.6079107269283,5,9.10094546634633e-12
53.9072462441707,5,2.1898642494484e-10
61.1483294567894,5,7.03610430394462e-12
52.8724632306917,5,3.57235656783829e-10
65.2734534062565,5,9.8350514190448e-13
53.4611717051218,5,2.70436786267909e-10
46.9042447892833,5,5.94264953547811e-09
53.9235910051557,5,2.17299275575658e-10
54.6381549754942,5,1.54938240422411e-10
52.1303207274647,5,5.07275727942915e-10
54.7431828582069,5,1.47420628713428e-10
44.5887730659623,5,1.75876448569397e-08
55.5529249759886,5,1.00450012468395e-10
50.0183282680528,5,1.37388124168083e-09
57.907093338972,5,3.28738216992551e-11
58.7429253336615,5,2.20990133306312e-11
50.1192258694346,5,1.31008957916587e-09
42.2260413806599,5,5.30146362588266e-08
51.8710107102017,5,5.73358731093309e-10
47.8639618699564,5,3.78643368913324e-09
58.7140539181497,5,2.24043676286869e-11
49.2675170867746,5,1.95668800926181e-09
58.110840226428,5,2.98412999006514e-11
58.3850672057009,5,2.61959185020231e-11
55.1324169015211,5,1.22599250421397e-10
60.2959243163975,5,1.05579786072206e-11
52.5636254995587,5,4.13374440576206e-10
62.8929525273278,5,3.0636358923922e-12
48.9156796996389,5,2.30908205540663e-09
57.3024474299619,5,4.38069079479012e-11
53.6980788227089,5,2.41767007426352e-10
54.3555027461921,5,1.77124495162432e-10
59.4006455997282,5,1.61645228970474e-11
52.5405396548876,5,4.17908444355223e-10
64.1779796526154,5,1.65945372766263e-12
55.3484905674272,5,1.10668909591155e-10
46.5492341064329,5,7.01984251257925e-09
52.3336481381543,5,4.60821637914412e-10
58.0304205603053,5,3.1003377093572e-11
57.34295852361,5,4.29724727238454e-11
59.6914231071473,5,1.40765923611388e-11
53.1335636116134,5,3.15753357158382e-10
56.0861233929701,5,7.80137912925517e-11
45.5558050850577,5,1.1183839114706e-08
58.2348999935829,5,2.81333120686347e-11
55.4220381258356,5,1.06878266269895e-10
49.4724406131357,5,1.77672325474135e-09
56.9429777748322,5,5.19567355541222e-11
59.7249502676762,5,1.38538653007965e-11
51.362802220518,5,7.28806063178504e-10
48.3329385254826,5,3.03729417643832e-09
48.7426902688753,5,2.50488702249857e-09
53.9694846563552,5,2.12631032969319e-10
53.2542504699718,5,2.98239169167728e-10
44.6553331145216,5,1.70483970009116e-08
52.689265287101,5,3.89545870216401e-10
55.2998837562817,5,1.13247447041591e-10
58.2972783190211,5,2.7311747633569e-11
46.3388745293707,5,7.74782783452208e-09
47.0674533368258,5,5.50438117840541e-09
54.1787698995044,5,1.92579826823695e-10
49.6418254892493,5,1.64050283152968e-09
44.9268371504404,5,1.50142553790611e-08
56.754699717754,5,5.68123702998209e-11
56.5796833857745,5,6.17312323780385e-11
58.6660449994687,5,2.29214794993351e-11
54.4261673025882,5,1.71297033840986e-10
54.1314232544244,5,1.96944143411951e-10
51.4995976704969,5,6.83240981295012e-10
52.5210924489974,5,4.21766309045523e-10
59.7897071184287,5,1.34335847204244e-11
54.0458192236603,5,2.05086995212087e-10
58.6181782557972,5,2.34489202315493e-11
53.5499088459891,5,2.59320912879214e-10
51.7120861907723,5,6.18035047394857e-10
58.5919837595428,5,2.37426668733867e-11
52.3429820353486,5,4.58794136982058e-10
47.7696469767691,5,3.95802212067394e-09
43.3825040054114,5,3.0908098865665e-08
52.5166566202639,5,4.22651237322579e-10
47.6405519630461,5,4.20552529119191e-09
52.0229607117271,5,5.33659881265109e-10
52.1593458897589,5,5.00368924654155e-10
53.0981727644649,5,3.2108126863841e-10
54.3884606806938,5,1.74382352136251e-10
54.1505016363539,5,1.95173789251938e-10
58.5730191491801,5,2.39576268006016e-11
59.9990966653306,5,1.21597952198344e-11
48.1145430885483,5,3.36573765313718e-09
53.7093996985027,5,2.40475617686738e-10
50.3166378424324,5,1.19369825132437e-09
47.0549213698034,5,5.53685968159066e-09
51.0824793890945,5,8.31868241199458e-10
60.4707168923688,5,9.71514779902843e-12
48.581011562305,5,2.70283074162191e-09
56.939078560766,5,5.20529669410029e-11
