"MyNumber","ID","sciname","Label","SL","Stage","Sex","Station","Muscle","Otolith","Lat_dec.x.x","Long_dec.x","Year.x","Weight.x","Min_Depth","Max_Depth","DIC","Suess","Depth_Mid","d13C","d18O","d13C_musc","d13C_musc_SD","d18O_SW","sd_d18O_SW","mean_M","sd_M","se_M","mean_Temp","sd_Temp","se_Temp"
"BAS_83","149","Electrona carlsbergi","ELC",NA,NA,"U","JR177/357/1",2,"Y",-50.55,-34.05,2008,NA,3.8,206.8,1.95,-0.1,105.3,-3.03,3.37,-23.96,0.31,-0.226325338,0.673572454,0.179483089298496,0.0108563126049303,0.0001982082435016,1.81530019754682,2.28974988044416,0.0295605438464688
"BAS_84","150","Electrona carlsbergi","ELC",NA,NA,"U","JR177/357/1",2,"Y",-50.55,-34.05,2008,NA,3.8,206.8,1.95,-0.1,105.3,-2.98,3.02,-24.11,0,-0.226325338,0.673572454,0.176706951024784,0.0109508149167004,0.000199933611764696,2.51581495062494,2.3137566492467,0.0298704698990305
"BAS_85","151","Electrona carlsbergi","ELC",NA,NA,"U","JR177/357/1",2,"Y",-50.55,-34.05,2008,NA,3.8,206.8,1.95,-0.1,105.3,-3.51,2.88,-24.03,0.93,-0.226325338,0.673572454,0.197620525124333,0.0128997322601334,0.000235515811488405,2.86605518762887,2.28238496300138,0.0294654631711286
"BAS_86","155","Electrona carlsbergi","ELC",74,"2","M","JR177/357/1",1,"Y",-50.55,-34.05,2008,5.6,3.8,206.8,1.95,-0.1,105.3,-2.77,3.21,-25.92,0,-0.226325338,0.673572454,0.157759052367799,0.00949581187223503,0.000173369012141616,2.12093716576732,2.31669691806575,0.0299084286062623
"BAS_87","153","Electrona carlsbergi","ELC",79,"2","M","JR177/357/1",1,"Y",-50.55,-34.05,2008,7.4,3.8,206.8,1.95,-0.1,105.3,-2.43,3.38,-23.92,0,-0.226325338,0.673572454,0.156926316596846,0.0103688060115497,0.000189307631564032,1.82951896178257,2.29490598052601,0.0296271088122968
"BAS_88","154","Electrona carlsbergi","ELC",81,"2","M","JR177/357/1",1,"Y",-50.55,-34.05,2008,7.7,3.8,206.8,1.95,-0.1,105.3,-2.73,2.87,-25.14,0,-0.226325338,0.673572454,0.161117043952053,0.00984912963461941,0.000179819682422456,2.84989286735692,2.29407215826698,0.0296163442132204
"BAS_89","157","Electrona carlsbergi","ELC",73,"2","F","JR177/357/1",1,"Y",-50.55,-34.05,2008,5.8,3.8,206.8,1.95,-0.1,105.3,-2.99,3.07,-25,0,-0.226325338,0.673572454,0.170988020818001,0.0101437720729723,0.000185199092751929,2.40202276670876,2.28614284922859,0.0295139772737117
"BAS_90","103","Gymnoscopelus braueri","GYR",105,"1","M","JR15004/66/1",1,"Y",-60.0328,-46.6157,2016,8.7,200,400,1.8,-0.08,300,-5.18,3.8,-26.97,0,-0.132668294,0.677403268,0.227559149898549,0.0118014502430593,0.000215464016979947,1.06028444666465,2.29771321639669,0.0296633500715502
"BAS_91","117","Gymnoscopelus braueri","GYR",115,"2","M","JR15004/60/1",1,"Y",-59.9641,-47.1774,2016,8.6,700,1000,1.8,-0.08,850,-5.17,4.03,-28.24,0,-0.123062443,0.677797416,0.21781832219842,0.0108664472263302,0.000198393275526683,0.627484312066408,2.2844122849573,0.0294916357850375
"BAS_93","#113","Gymnoscopelus braueri","GYR",122,"1","F","JR15004/96/1",1,"Y",-60.3073,-46.7017,2016,15.6,200,400,1.8,-0.08,300,-5.04,3.98,-28.22,0,-0.288763367,0.671030923,0.213636933024981,0.0107610906609817,0.000196469736612596,0.356168709165458,2.28610203080068,0.0295134503100732
